"key","category","short_citation","title","year","doi","url","note"
"melcher2024","primer","Melcher et al. 2024","To pool or not to pool: Pooled metabarcoding does not affect estimates of prey diversity in spider gut content analysis",2024,"10.1111/een.13382","https://doi.org/10.1111/een.13382","Spidprey_F and Spidprey_R"
"lafage2020","primer","Lafage et al. 2020","A new primer for metabarcoding of spider gut contents",2020,"10.1002/edn3.62","https://doi.org/10.1002/edn3.62","NoSpi2 forward primer"
"cuff2021","primer","Cuff et al. 2021","Money spider dietary choice in pre- and post-harvest cereal crops using metabarcoding",2021,"10.1111/een.12957","https://doi.org/10.1111/een.12957","Laurelin_R reverse primer"
"reeves2018","primer","Reeves et al. 2018","New primers for DNA barcoding mosquito blood meals",2018,"10.1371/journal.pntd.0006767","https://doi.org/10.1371/journal.pntd.0006767","Mod_RepCOI and VertCOI primers"
"ncbi_reference","data","NCBI RefSeq NC_001322.1","Drosophila yakuba mitochondrion complete genome; COX1 feature 1474 to 3009",1999,"","https://www.ncbi.nlm.nih.gov/nuccore/NC_001322.1","Versioned 1536-bp coordinate reference"
"rentrez2017","software","Winter 2017","rentrez: an R package for the NCBI eUtils API",2017,"10.32614/RJ-2017-058","https://doi.org/10.32614/RJ-2017-058","Reproducible GenBank sequence retrieval"
"vsearch2016","software","Rognes et al. 2016","VSEARCH: a versatile open source tool for metagenomics",2016,"10.7717/peerj.2584","https://doi.org/10.7717/peerj.2584","97-percent dereplication and clustering used through PrimerMiner"
"mafft2013","software","Katoh & Standley 2013","MAFFT multiple sequence alignment software version 7: improvements in performance and usability",2013,"10.1093/molbev/mst010","https://doi.org/10.1093/molbev/mst010","Reference-coordinate alignment"
"beeprime2026","primer","Gurten et al. 2026","A bee-specific metabarcoding primer pair for non-invasive assessments of plant–pollinator interactions",2026,"10.3897/mbmg.10.183708","https://doi.org/10.3897/mbmg.10.183708","BeePrimeF and BeePrimeR; paper reports a 198-bp primer-excluded marker"
"beeprime2026_suppl1","data","Gurten et al. 2026 Supplement 1","Empirical target and non-target amplification results for BeePrimeF/BeePrimeR",2026,"10.3897/mbmg.10.183708.suppl1","https://doi.org/10.3897/mbmg.10.183708.suppl1","ODbL empirical validation table; article text and table counts are retained separately"
"beeprime2026_suppl4","data","Gurten et al. 2026 Supplement 4","In-silico BeePrime penalty figures for bee and non-bee arthropod taxa",2026,"10.3897/mbmg.10.183708.suppl4","https://doi.org/10.3897/mbmg.10.183708.suppl4","ODbL author penalty-score figures"
"beeprime2026_suppl5","data","Gurten et al. 2026 Supplement 5","99.5-percent clustered COI centroid reference alignment",2026,"10.3897/mbmg.10.183708.suppl5","https://doi.org/10.3897/mbmg.10.183708.suppl5","ODbL source alignment with 67352 centroid sequences"
"beeprime2026_suppl7","data","Gurten et al. 2026 Supplement 7","Bee taxa represented in the COI reference database",2026,"10.3897/mbmg.10.183708.suppl7","https://doi.org/10.3897/mbmg.10.183708.suppl7","ODbL mapping of bee genera and families"
"beeprime2026_suppl8","data","Gurten et al. 2026 Supplement 8","Arthropod taxa represented in the COI reference database",2026,"10.3897/mbmg.10.183708.suppl8","https://doi.org/10.3897/mbmg.10.183708.suppl8","ODbL mapping of arthropod orders families and genera"
"elbrecht2019","validation","Elbrecht et al. 2019","Validation of COI metabarcoding primers for terrestrial arthropods",2019,"10.7717/peerj.7745","https://doi.org/10.7717/peerj.7745","Mock-community and Malaise-sample comparison documenting lineage-dependent primer recovery including ZBJ-Art"
"rubbmark2018","validation","Rennstam Rubbmark et al. 2018","A broadly applicable COI primer pair and an efficient single-tube amplicon library preparation protocol for metabarcoding",2018,"10.1002/ece3.4520","https://doi.org/10.1002/ece3.4520","In-vitro comparison reporting extensive failures for ZBJ-Art and motivating broader taxonomic validation"
"mitter2017","taxonomy","Mitter et al. 2017","Phylogeny and Evolution of Lepidoptera",2017,"10.1146/annurev-ento-031616-035125","https://doi.org/10.1146/annurev-ento-031616-035125","Superfamily-level phylogenetic context for the Lepidoptera study lens"
"kristensen2007","taxonomy","Kristensen et al. 2007","Lepidoptera phylogeny and systematics: the state of inventorying moth and butterfly diversity",2007,"10.11646/zootaxa.1668.1.30","https://doi.org/10.11646/zootaxa.1668.1.30","Supports separating butterflies macro-moths and the non-monophyletic micro-moth grade"
"ncbi_nucleotide","data","NCBI Nucleotide and Taxonomy","Versioned mitochondrial records COX1 coding features and lineage ranks",2026,"","https://www.ncbi.nlm.nih.gov/nuccore/","Complete mitochondrial records and accession-level taxonomy retrieved through E-utilities"
"tournayre2020","validation","Tournayre et al. 2020","In silico and empirical evaluation of twelve metabarcoding primer sets for insectivorous diet analyses",2020,"10.1002/ece3.6362","https://doi.org/10.1002/ece3.6362","Mock-community and guano comparison identifying fwh1 as the best overall single pair for that study"
"leese2021","primer","Leese et al. 2021","Improved freshwater macroinvertebrate detection from environmental DNA through minimized nontarget amplification",2021,"10.1002/edn3.177","https://doi.org/10.1002/edn3.177","EPTDr2n design and empirical water-eDNA validation with fwhF2"
"marquina2019","primer","Marquina et al. 2019","New mitochondrial primers for metabarcoding of insects designed and evaluated using in silico methods",2019,"10.1111/1755-0998.12942","https://doi.org/10.1111/1755-0998.12942","HexCOIF4 and HexCOIR4"
"hajibabaei2019","validation","Hajibabaei et al. 2019","COI metabarcoding primer choice affects richness and recovery of indicator taxa in freshwater systems",2019,"10.1371/journal.pone.0220953","https://doi.org/10.1371/journal.pone.0220953","Sequence-resolved comparison of BR5 F230R ml-jg BF1R2 BF2R2 and fwh1"
"ward2005","primer","Ward et al. 2005","DNA barcoding Australia's fish species",2005,"10.1098/rstb.2005.1716","https://doi.org/10.1098/rstb.2005.1716","FishF2 and FishR1; original 655-bp fish COI barcode"
"andean_fish2026","validation","Osorio et al. 2026","Andean fish inventories using an eDNA metabarcoding approach",2026,"10.1007/s44353-026-00081-3","https://doi.org/10.1007/s44353-026-00081-3","Regional fish eDNA workflow using FishF2 and FishR1"
"shi2024","primer","Shi et al. 2024","Development of environmental DNA metabarcoding primers for marine mollusks and comparison with published primers",2024,"10.1186/s12862-024-02265-8","https://doi.org/10.1186/s12862-024-02265-8","MollCOI253 sequence product size annealing information and marine mollusk validation"
"its_primary_epp_et_al_2012","original primer reference","Epp et al. 2012","Primer source: Epp et al. 2012",2012,"","https://search.crossref.org/?q=Epp+et+al.+2012","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_martin_rygiewicz_2005","original primer reference","Martin & Rygiewicz 2005","Primer source: Martin & Rygiewicz 2005",2005,"","https://search.crossref.org/?q=Martin+%26+Rygiewicz+2005","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_garbelotto_et_al_1997","original primer reference","Garbelotto et al. 1997","Primer source: Garbelotto et al. 1997",1997,"","https://search.crossref.org/?q=Garbelotto+et+al.+1997","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_white_et_al_1990","original primer reference","White et al. 1990","Primer source: White et al. 1990",1990,"","https://search.crossref.org/?q=White+et+al.+1990","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_gardes_bruns_1993","original primer reference","Gardes & Bruns 1993","Primer source: Gardes & Bruns 1993",1993,"","https://search.crossref.org/?q=Gardes+%26+Bruns+1993","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_tedersoo_et_al_2015a_b","original primer reference","Tedersoo et al. 2015a,b","Primer source: Tedersoo et al. 2015a,b",2015,"","https://search.crossref.org/?q=Tedersoo+et+al.+2015a%2Cb","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_tedersoo_et_al_2014","original primer reference","Tedersoo et al. 2014","Primer source: Tedersoo et al. 2014",2014,"","https://search.crossref.org/?q=Tedersoo+et+al.+2014","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_ihrmark_et_al_2012","original primer reference","Ihrmark et al. 2012","Primer source: Ihrmark et al. 2012",2012,"","https://search.crossref.org/?q=Ihrmark+et+al.+2012","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_l_tedersoo_unpublished","original primer reference","L. Tedersoo, unpublished","Primer source: L. Tedersoo, unpublished",,"","https://unite.ut.ee/primers.php","Primary-reference status: unpublished · primer metadata compiled by UNITE."
"its_primary_turenne_et_al_1998","original primer reference","Turenne et al. 1998","Primer source: Turenne et al. 1998",1998,"","https://search.crossref.org/?q=Turenne+et+al.+1998","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_egger_1995","original primer reference","Egger 1995","Primer source: Egger 1995",1995,"","https://search.crossref.org/?q=Egger+1995","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_tedersoo_et_al_2008","original primer reference","Tedersoo et al. 2008","Primer source: Tedersoo et al. 2008",2008,"","https://search.crossref.org/?q=Tedersoo+et+al.+2008","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_hopple_vilgalys_1994","original primer reference","Hopple & Vilgalys 1994","Primer source: Hopple & Vilgalys 1994",1994,"","https://search.crossref.org/?q=Hopple+%26+Vilgalys+1994","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_schadt_et_al_2003","original primer reference","Schadt et al. 2003","Primer source: Schadt et al. 2003",2003,"","https://search.crossref.org/?q=Schadt+et+al.+2003","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_white_et_al_1990_modified","original primer reference","White et al. 1990 (modified)","Primer source: White et al. 1990 (modified)",1990,"","https://search.crossref.org/?q=White+et+al.+1990+%28modified%29","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_t_j_white_unpublished","original primer reference","T.J. White, unpublished","Primer source: T.J. White, unpublished",,"","https://unite.ut.ee/primers.php","Primary-reference status: unpublished · primer metadata compiled by UNITE."
"its_primary_m_berbee_unpublished","original primer reference","M.Berbee, unpublished","Primer source: M.Berbee, unpublished",,"","https://unite.ut.ee/primers.php","Primary-reference status: unpublished · primer metadata compiled by UNITE."
"its_primary_tedersoo_et_al_2007","original primer reference","Tedersoo et al. 2007","Primer source: Tedersoo et al. 2007",2007,"","https://search.crossref.org/?q=Tedersoo+et+al.+2007","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_bahram_et_al_2011","original primer reference","Bahram et al. 2011","Primer source: Bahram et al. 2011",2011,"","https://search.crossref.org/?q=Bahram+et+al.+2011","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_tedersoo_et_al_2011","original primer reference","Tedersoo et al. 2011","Primer source: Tedersoo et al. 2011",2011,"","https://search.crossref.org/?q=Tedersoo+et+al.+2011","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_tedersoo_et_al_2009","original primer reference","Tedersoo et al. 2009","Primer source: Tedersoo et al. 2009",2009,"","https://search.crossref.org/?q=Tedersoo+et+al.+2009","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_bonito_et_al_2013","original primer reference","Bonito et al. 2013","Primer source: Bonito et al. 2013",2013,"","https://search.crossref.org/?q=Bonito+et+al.+2013","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_taylor_mccormick_2008","original primer reference","Taylor & McCormick, 2008","Primer source: Taylor & McCormick, 2008",2008,"","https://search.crossref.org/?q=Taylor+%26+McCormick%2C+2008","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_oja_et_al_2015","original primer reference","Oja et al. 2015","Primer source: Oja et al. 2015",2015,"","https://search.crossref.org/?q=Oja+et+al.+2015","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_not_reported","original primer reference","Original reference not reported","Original primer reference not reported by compilation",,"","https://unite.ut.ee/primers.php","Primary-reference status: not_reported · primer metadata compiled by UNITE."
"its_primary_vainio_hantola_2000","original primer reference","Vainio & Hantola 2000","Primer source: Vainio & Hantola 2000",2000,"","https://search.crossref.org/?q=Vainio+%26+Hantola+2000","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_turner_et_al_1999","original primer reference","Turner et al. 1999","Primer source: Turner et al. 1999",1999,"","https://search.crossref.org/?q=Turner+et+al.+1999","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_borneman_hartin_2000","original primer reference","Borneman & Hartin 2000","Primer source: Borneman & Hartin 2000",2000,"","https://search.crossref.org/?q=Borneman+%26+Hartin+2000","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_smit_et_al_1999","original primer reference","Smit et al. 1999","Primer source: Smit et al. 1999",1999,"","https://search.crossref.org/?q=Smit+et+al.+1999","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_helgason_et_al_1998","original primer reference","Helgason et al. 1998","Primer source: Helgason et al. 1998",1998,"","https://search.crossref.org/?q=Helgason+et+al.+1998","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_lee_et_al_2008","original primer reference","Lee et al. 2008","Primer source: Lee et al. 2008",2008,"","https://search.crossref.org/?q=Lee+et+al.+2008","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_simon_et_al_1992","original primer reference","Simon et al. 1992","Primer source: Simon et al. 1992",1992,"","https://search.crossref.org/?q=Simon+et+al.+1992","Primary-reference status: publication_cited · primer metadata compiled by UNITE."
"its_primary_t_riit_unpublished","original primer reference","T. Riit, unpublished","Primer source: T. Riit, unpublished",,"","https://unite.ut.ee/primers.php","Primary-reference status: unpublished · primer metadata compiled by UNITE."
"unite_primers","primer catalog","UNITE primer resource","UNITE fungal ITS primer resource",2026,"","https://unite.ut.ee/primers.php","Versioned attributed snapshot imported offline; not scraped during user sessions."
