key,category,short_citation,title,year,doi,url,note
melcher2024,primer,Melcher et al. 2024,To pool or not to pool: Pooled metabarcoding does not affect estimates of prey diversity in spider gut content analysis,2024,10.1111/een.13382,https://doi.org/10.1111/een.13382,Spidprey_F and Spidprey_R
lafage2020,primer,Lafage et al. 2020,A new primer for metabarcoding of spider gut contents,2020,10.1002/edn3.62,https://doi.org/10.1002/edn3.62,NoSpi2 forward primer
cuff2021,primer,Cuff et al. 2021,Money spider dietary choice in pre- and post-harvest cereal crops using metabarcoding,2021,10.1111/een.12957,https://doi.org/10.1111/een.12957,Laurelin_R reverse primer
reeves2018,primer,Reeves et al. 2018,New primers for DNA barcoding mosquito blood meals,2018,10.1371/journal.pntd.0006767,https://doi.org/10.1371/journal.pntd.0006767,Mod_RepCOI and VertCOI primers
ncbi_reference,data,NCBI RefSeq NC_001322.1,Drosophila yakuba mitochondrion complete genome; COX1 feature 1474 to 3009,1999,,https://www.ncbi.nlm.nih.gov/nuccore/NC_001322.1,Versioned 1536-bp coordinate reference
rentrez2017,software,Winter 2017,rentrez: an R package for the NCBI eUtils API,2017,10.32614/RJ-2017-058,https://doi.org/10.32614/RJ-2017-058,Reproducible GenBank sequence retrieval
vsearch2016,software,Rognes et al. 2016,VSEARCH: a versatile open source tool for metagenomics,2016,10.7717/peerj.2584,https://doi.org/10.7717/peerj.2584,97-percent dereplication and clustering used through PrimerMiner
mafft2013,software,Katoh & Standley 2013,MAFFT multiple sequence alignment software version 7: improvements in performance and usability,2013,10.1093/molbev/mst010,https://doi.org/10.1093/molbev/mst010,Reference-coordinate alignment
beeprime2026,primer,Gurten et al. 2026,A bee-specific metabarcoding primer pair for non-invasive assessments of plant–pollinator interactions,2026,10.3897/mbmg.10.183708,https://doi.org/10.3897/mbmg.10.183708,BeePrimeF and BeePrimeR; paper reports a 198-bp primer-excluded marker
beeprime2026_suppl1,data,Gurten et al. 2026 Supplement 1,Empirical target and non-target amplification results for BeePrimeF/BeePrimeR,2026,10.3897/mbmg.10.183708.suppl1,https://doi.org/10.3897/mbmg.10.183708.suppl1,ODbL empirical validation table; article text and table counts are retained separately
beeprime2026_suppl4,data,Gurten et al. 2026 Supplement 4,In-silico BeePrime penalty figures for bee and non-bee arthropod taxa,2026,10.3897/mbmg.10.183708.suppl4,https://doi.org/10.3897/mbmg.10.183708.suppl4,ODbL author penalty-score figures
beeprime2026_suppl5,data,Gurten et al. 2026 Supplement 5,99.5-percent clustered COI centroid reference alignment,2026,10.3897/mbmg.10.183708.suppl5,https://doi.org/10.3897/mbmg.10.183708.suppl5,ODbL source alignment with 67352 centroid sequences
beeprime2026_suppl7,data,Gurten et al. 2026 Supplement 7,Bee taxa represented in the COI reference database,2026,10.3897/mbmg.10.183708.suppl7,https://doi.org/10.3897/mbmg.10.183708.suppl7,ODbL mapping of bee genera and families
beeprime2026_suppl8,data,Gurten et al. 2026 Supplement 8,Arthropod taxa represented in the COI reference database,2026,10.3897/mbmg.10.183708.suppl8,https://doi.org/10.3897/mbmg.10.183708.suppl8,ODbL mapping of arthropod orders families and genera
elbrecht2019,validation,Elbrecht et al. 2019,Validation of COI metabarcoding primers for terrestrial arthropods,2019,10.7717/peerj.7745,https://doi.org/10.7717/peerj.7745,Mock-community and Malaise-sample comparison documenting lineage-dependent primer recovery including ZBJ-Art
rubbmark2018,validation,Rennstam Rubbmark et al. 2018,A broadly applicable COI primer pair and an efficient single-tube amplicon library preparation protocol for metabarcoding,2018,10.1002/ece3.4520,https://doi.org/10.1002/ece3.4520,In-vitro comparison reporting extensive failures for ZBJ-Art and motivating broader taxonomic validation
mitter2017,taxonomy,Mitter et al. 2017,Phylogeny and Evolution of Lepidoptera,2017,10.1146/annurev-ento-031616-035125,https://doi.org/10.1146/annurev-ento-031616-035125,Superfamily-level phylogenetic context for the Lepidoptera study lens
kristensen2007,taxonomy,Kristensen et al. 2007,Lepidoptera phylogeny and systematics: the state of inventorying moth and butterfly diversity,2007,10.11646/zootaxa.1668.1.30,https://doi.org/10.11646/zootaxa.1668.1.30,Supports separating butterflies macro-moths and the non-monophyletic micro-moth grade
ncbi_nucleotide,data,NCBI Nucleotide and Taxonomy,Versioned mitochondrial records COX1 coding features and lineage ranks,2026,,https://www.ncbi.nlm.nih.gov/nuccore/,Complete mitochondrial records and accession-level taxonomy retrieved through E-utilities
tournayre2020,validation,Tournayre et al. 2020,In silico and empirical evaluation of twelve metabarcoding primer sets for insectivorous diet analyses,2020,10.1002/ece3.6362,https://doi.org/10.1002/ece3.6362,Mock-community and guano comparison identifying fwh1 as the best overall single pair for that study
leese2021,primer,Leese et al. 2021,Improved freshwater macroinvertebrate detection from environmental DNA through minimized nontarget amplification,2021,10.1002/edn3.177,https://doi.org/10.1002/edn3.177,EPTDr2n design and empirical water-eDNA validation with fwhF2
marquina2019,primer,Marquina et al. 2019,New mitochondrial primers for metabarcoding of insects designed and evaluated using in silico methods,2019,10.1111/1755-0998.12942,https://doi.org/10.1111/1755-0998.12942,HexCOIF4 and HexCOIR4
hajibabaei2019,validation,Hajibabaei et al. 2019,COI metabarcoding primer choice affects richness and recovery of indicator taxa in freshwater systems,2019,10.1371/journal.pone.0220953,https://doi.org/10.1371/journal.pone.0220953,Sequence-resolved comparison of BR5 F230R ml-jg BF1R2 BF2R2 and fwh1
ward2005,primer,Ward et al. 2005,DNA barcoding Australia's fish species,2005,10.1098/rstb.2005.1716,https://doi.org/10.1098/rstb.2005.1716,FishF2 and FishR1; original 655-bp fish COI barcode
andean_fish2026,validation,Osorio et al. 2026,Andean fish inventories using an eDNA metabarcoding approach,2026,10.1007/s44353-026-00081-3,https://doi.org/10.1007/s44353-026-00081-3,Regional fish eDNA workflow using FishF2 and FishR1
shi2024,primer,Shi et al. 2024,Development of environmental DNA metabarcoding primers for marine mollusks and comparison with published primers,2024,10.1186/s12862-024-02265-8,https://doi.org/10.1186/s12862-024-02265-8,MollCOI253 sequence product size annealing information and marine mollusk validation
